                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
143,1.1784,1.0998,1.0815,0.80677,0.65578,0.70546,0.46735,1.0693,0.9502,1.0622,0.00082427,0.00082427,0.00082427
144,1.1792,1.0901,1.0779,0.8519,0.65013,0.72322,0.48651,1.0563,0.91322,1.0571,0.00082304,0.00082304,0.00082304
145,1.176,1.0833,1.0783,0.85211,0.65962,0.72793,0.49291,1.026,0.90308,1.045,0.0008218,0.0008218,0.0008218
146,1.1958,1.1024,1.0833,0.83537,0.65341,0.71793,0.48996,1.0194,0.90119,1.0425,0.00082056,0.00082056,0.00082056
147,1.1751,1.0913,1.0695,0.84187,0.64226,0.71193,0.47876,1.0521,0.91232,1.059,0.00081932,0.00081932,0.00081932
148,1.1753,1.0896,1.0712,0.84049,0.65865,0.72439,0.49238,1.0189,0.91649,1.042,0.00081809,0.00081809,0.00081809
149,1.1513,1.0678,1.0602,0.85853,0.65976,0.73762,0.50072,1.0172,0.88299,1.0417,0.00081685,0.00081685,0.00081685
150,1.1467,1.0659,1.074,0.83397,0.64474,0.71243,0.48906,1.0134,0.92153,1.0377,0.00081561,0.00081561,0.00081561
151,1.1601,1.0903,1.0683,0.82503,0.66676,0.71972,0.48525,1.0463,0.91114,1.0547,0.00081437,0.00081437,0.00081437
152,1.173,1.0779,1.0753,0.86037,0.65894,0.73414,0.50158,1.0252,0.86335,1.0441,0.00081314,0.00081314,0.00081314
153,1.1463,1.0499,1.0609,0.84312,0.64238,0.72544,0.49241,1.0145,0.91437,1.0407,0.0008119,0.0008119,0.0008119
154,1.1696,1.0871,1.0736,0.8447,0.67092,0.73816,0.50499,1.0209,0.87324,1.0423,0.00081066,0.00081066,0.00081066
155,1.1537,1.0597,1.0597,0.87094,0.6757,0.74048,0.50073,1.0498,0.85752,1.0518,0.00080943,0.00080943,0.00080943
156,1.156,1.035,1.0634,0.81666,0.69209,0.7463,0.50961,1.0202,0.86121,1.0403,0.00080819,0.00080819,0.00080819
157,1.1276,1.0421,1.0687,0.86559,0.68723,0.75133,0.51073,1.0062,0.85099,1.0352,0.00080695,0.00080695,0.00080695
158,1.1617,1.0581,1.0833,0.80575,0.68839,0.73105,0.49518,1.0286,0.87808,1.0468,0.00080571,0.00080571,0.00080571
159,1.1603,1.0441,1.0684,0.85127,0.667,0.73443,0.50343,1.0131,0.85627,1.038,0.00080447,0.00080447,0.00080447
160,1.1438,1.0394,1.0591,0.80465,0.71224,0.75373,0.522,0.98802,0.83714,1.0269,0.00080324,0.00080324,0.00080324
161,1.1461,1.0493,1.0595,0.86292,0.67963,0.75466,0.50994,1.0363,0.87842,1.0455,0.000802,0.000802,0.000802
162,1.1448,1.0251,1.0696,0.85205,0.69543,0.76863,0.52803,0.9954,0.8415,1.0296,0.00080076,0.00080076,0.00080076
163,1.1266,1.0432,1.056,0.82539,0.69858,0.74565,0.5163,0.99591,0.85177,1.0318,0.00079953,0.00079953,0.00079953
164,1.1283,1.0201,1.054,0.84582,0.67909,0.74509,0.51277,0.99727,0.85193,1.027,0.00079829,0.00079829,0.00079829
165,1.143,1.0366,1.0647,0.85181,0.67559,0.75121,0.51397,1.0035,0.85653,1.0326,0.00079705,0.00079705,0.00079705
166,1.1375,1.029,1.0703,0.85705,0.69322,0.75165,0.51143,1.0264,0.83926,1.0481,0.00079581,0.00079581,0.00079581
167,1.1267,0.98754,1.0569,0.85901,0.67951,0.74533,0.51535,0.99359,0.84049,1.0271,0.00079458,0.00079458,0.00079458
168,1.1418,1.0023,1.0549,0.86994,0.68613,0.7605,0.51508,1.0055,0.80298,1.0288,0.00079334,0.00079334,0.00079334
169,1.1447,0.99915,1.0542,0.87184,0.6805,0.75842,0.52719,0.98441,0.80983,1.0251,0.0007921,0.0007921,0.0007921
170,1.1212,1.0046,1.0536,0.86476,0.69662,0.76254,0.53041,0.99004,0.8011,1.026,0.00079086,0.00079086,0.00079086
171,1.1289,0.97574,1.0611,0.88491,0.68242,0.76969,0.53246,0.97898,0.79194,1.0187,0.00078963,0.00078963,0.00078963
172,1.1245,1.0064,1.0529,0.8702,0.70053,0.76859,0.54107,0.95733,0.76946,1.0119,0.00078839,0.00078839,0.00078839
173,1.1079,0.97033,1.0393,0.88322,0.6912,0.77345,0.53225,0.9861,0.78079,1.0263,0.00078715,0.00078715,0.00078715
174,1.1133,0.97705,1.0453,0.85869,0.70141,0.76306,0.52504,1.0005,0.81807,1.0273,0.00078591,0.00078591,0.00078591
175,1.1055,0.96821,1.055,0.87687,0.69694,0.7751,0.54126,0.9563,0.78899,1.0105,0.00078467,0.00078467,0.00078467
176,1.1359,1.0131,1.0532,0.87169,0.70596,0.77262,0.5348,0.98122,0.78813,1.0215,0.00078344,0.00078344,0.00078344
177,1.1241,0.97558,1.0368,0.86355,0.69959,0.77122,0.53593,0.96589,0.79792,1.0167,0.0007822,0.0007822,0.0007822
178,1.1252,0.98052,1.0505,0.86011,0.70141,0.76769,0.53543,0.97544,0.7778,1.0192,0.00078096,0.00078096,0.00078096
